source,L_Lsun,R_Rsun,M_total_Msun,A_V,m_nuc,D_L_Gpc,DM,R_max_Rsun,validity,m_unlensed,mu_cusp,m_lensed,flux_ratio,delta_m_peak,P_inject_days,detector,threshold,recovery_fraction,binom_se,n_inj,seed,aperture_note,source_label
BSG,100000.0,20.0,20000000000.0,0.0,19.0,1.0,40.0,3500.0,VALID,32.24,1155083.3078066139,17.083466730304107,5.842696237567185,2.08806815282707,18.0071,global_max,0.427687,1.0000,0.0000,200,42,,control: population-implausible in quiescent elliptical host
BSG,100000.0,20.0,20000000000.0,0.0,19.0,1.0,40.0,3500.0,VALID,32.24,1155083.3078066139,17.083466730304107,5.842696237567185,2.08806815282707,18.0071,blind_harmonic_sum,0.804701,0.8850,0.0226,200,42,,control: population-implausible in quiescent elliptical host
BSG,100000.0,20.0,20000000000.0,0.0,19.0,1.0,40.0,3500.0,VALID,32.24,1155083.3078066139,17.083466730304107,5.842696237567185,2.08806815282707,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,,control: population-implausible in quiescent elliptical host
BSG,100000.0,20.0,20000000000.0,0.0,19.0,2.0,41.51,3500.0,VALID,33.75,1155083.3078066139,18.593466730304105,1.4541637289370102,0.9747588330209536,18.0071,global_max,0.427687,1.0000,0.0000,200,42,,control: population-implausible in quiescent elliptical host
BSG,100000.0,20.0,20000000000.0,0.0,19.0,2.0,41.51,3500.0,VALID,33.75,1155083.3078066139,18.593466730304105,1.4541637289370102,0.9747588330209536,18.0071,blind_harmonic_sum,0.804701,0.8550,0.0249,200,42,,control: population-implausible in quiescent elliptical host
BSG,100000.0,20.0,20000000000.0,0.0,19.0,2.0,41.51,3500.0,VALID,33.75,1155083.3078066139,18.593466730304105,1.4541637289370102,0.9747588330209536,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,,control: population-implausible in quiescent elliptical host
BSG,100000.0,20.0,20000000000.0,0.0,19.0,2.9,42.31,3500.0,VALID,34.550000000000004,1155083.3078066139,19.39346673030411,0.6960065198333505,0.5735687936257419,18.0071,global_max,0.427687,1.0000,0.0000,200,42,,control: population-implausible in quiescent elliptical host
BSG,100000.0,20.0,20000000000.0,0.0,19.0,2.9,42.31,3500.0,VALID,34.550000000000004,1155083.3078066139,19.39346673030411,0.6960065198333505,0.5735687936257419,18.0071,blind_harmonic_sum,0.804701,0.8550,0.0249,200,42,,control: population-implausible in quiescent elliptical host
BSG,100000.0,20.0,20000000000.0,0.0,19.0,2.9,42.31,3500.0,VALID,34.550000000000004,1155083.3078066139,19.39346673030411,0.6960065198333505,0.5735687936257419,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,,control: population-implausible in quiescent elliptical host
BSG,100000.0,20.0,20000000000.0,0.5,19.0,0.1,35.0,3500.0,VALID,27.240000000000002,1155083.3078066139,12.583466730304107,368.64921026598097,6.419474456724121,18.0071,global_max,0.427687,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance,control: population-implausible in quiescent elliptical host
BSG,100000.0,20.0,20000000000.0,0.5,19.0,0.1,35.0,3500.0,VALID,27.240000000000002,1155083.3078066139,12.583466730304107,368.64921026598097,6.419474456724121,18.0071,blind_harmonic_sum,0.804701,0.8750,0.0234,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance,control: population-implausible in quiescent elliptical host
BSG,100000.0,20.0,20000000000.0,0.5,19.0,0.1,35.0,3500.0,VALID,27.240000000000002,1155083.3078066139,12.583466730304107,368.64921026598097,6.419474456724121,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance,control: population-implausible in quiescent elliptical host
BSG,100000.0,20.0,20000000000.0,0.5,19.0,0.2,36.51,3500.0,VALID,28.75,1155083.3078066139,14.093466730304105,91.75152848495118,4.91830268809265,18.0071,global_max,0.427687,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance,control: population-implausible in quiescent elliptical host
