comparison,template,detector,x_label,x_value,A_mag,recovery_fraction,binom_se,n_inj,seed,threshold,P_inject_days,fwhm_days
amplitude_sweep,sawtooth,oracle_single_freq,A_mag,0.106266,0.106266,1.0000,0.0000,200,42,,18.0071,4.0
amplitude_sweep,sawtooth,oracle_single_freq,A_mag,0.185431,0.185431,1.0000,0.0000,200,42,,18.0071,4.0
amplitude_sweep,sawtooth,oracle_single_freq,A_mag,0.323571,0.323571,1.0000,0.0000,200,42,,18.0071,4.0
amplitude_sweep,sawtooth,oracle_single_freq,A_mag,0.564622,0.564622,1.0000,0.0000,200,42,,18.0071,4.0
amplitude_sweep,sawtooth,oracle_single_freq,A_mag,0.985248,0.985248,1.0000,0.0000,200,42,,18.0071,4.0
amplitude_sweep,sawtooth,oracle_single_freq,A_mag,1.719227,1.719227,1.0000,0.0000,200,42,,18.0071,4.0
amplitude_sweep,sawtooth,oracle_single_freq,A_mag,3.000000,3.000000,1.0000,0.0000,200,42,,18.0071,4.0
amplitude_sweep,sawtooth,blind_harmonic_sum,A_mag,0.020000,0.020000,0.0150,0.0086,200,42,0.804701,18.0071,4.0
amplitude_sweep,sawtooth,blind_harmonic_sum,A_mag,0.034899,0.034899,0.0050,0.0050,200,42,0.804701,18.0071,4.0
amplitude_sweep,sawtooth,blind_harmonic_sum,A_mag,0.060898,0.060898,0.1000,0.0212,200,42,0.804701,18.0071,4.0
amplitude_sweep,sawtooth,blind_harmonic_sum,A_mag,0.106266,0.106266,0.5700,0.0350,200,42,0.804701,18.0071,4.0
amplitude_sweep,sawtooth,blind_harmonic_sum,A_mag,0.185431,0.185431,0.7050,0.0322,200,42,0.804701,18.0071,4.0
amplitude_sweep,sawtooth,blind_harmonic_sum,A_mag,0.323571,0.323571,0.8350,0.0262,200,42,0.804701,18.0071,4.0
amplitude_sweep,sawtooth,blind_harmonic_sum,A_mag,0.564622,0.564622,0.8550,0.0249,200,42,0.804701,18.0071,4.0
amplitude_sweep,sawtooth,blind_harmonic_sum,A_mag,0.985248,0.985248,0.9150,0.0197,200,42,0.804701,18.0071,4.0
amplitude_sweep,sawtooth,blind_harmonic_sum,A_mag,1.719227,1.719227,0.9300,0.0180,200,42,0.804701,18.0071,4.0
amplitude_sweep,sawtooth,blind_harmonic_sum,A_mag,3.000000,3.000000,0.9100,0.0202,200,42,0.804701,18.0071,4.0
reach_row_RGB_Av0,gaussian,global_max,D_L_Gpc,0.1,1.784062,1.0000,0.0000,200,42,0.427687,18.0071,4.0
reach_row_RGB_Av0,gaussian,global_max,D_L_Gpc,0.2,0.773144,1.0000,0.0000,200,42,0.427687,18.0071,4.0
reach_row_RGB_Av0,gaussian,global_max,D_L_Gpc,0.35,0.318285,1.0000,0.0000,200,42,0.427687,18.0071,4.0
reach_row_RGB_Av0,gaussian,global_max,D_L_Gpc,0.5,0.168245,0.9600,0.0139,200,42,0.427687,18.0071,4.0
reach_row_RGB_Av0,gaussian,global_max,D_L_Gpc,0.7,0.088356,0.7850,0.0290,200,42,0.427687,18.0071,4.0
reach_row_RGB_Av0,gaussian,global_max,D_L_Gpc,0.85,0.060787,0.3900,0.0345,200,42,0.427687,18.0071,4.0
reach_row_RGB_Av0,gaussian,global_max,D_L_Gpc,1,0.044373,0.0900,0.0202,200,42,0.427687,18.0071,4.0
reach_row_RGB_Av0,gaussian,global_max,D_L_Gpc,2,0.011215,0.0000,0.0000,200,42,0.427687,18.0071,4.0
reach_row_RGB_Av0,gaussian,global_max,D_L_Gpc,2.9,0.005382,0.0150,0.0086,200,42,0.427687,18.0071,4.0
