source,L_Lsun,R_Rsun,M_total_Msun,A_V,m_nuc,D_L_Gpc,DM,R_max_Rsun,validity,m_unlensed,mu_cusp,m_lensed,flux_ratio,delta_m_peak,P_inject_days,detector,threshold,recovery_fraction,binom_se,n_inj,seed,aperture_note,source_label
VY,270000.0,1420.0,20000000000.0,0.5,19.0,0.2,36.51,3500.0,VALID,27.67159058960253,75475.84165861145,15.977070677857157,16.18719985863385,3.0880128178082438,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,0.5,19.0,0.35,37.72,3500.0,VALID,28.88159058960253,75475.84165861145,17.187070677857157,5.310944082299106,2.000235830386026,18.0071,global_max,0.427687,1.0000,0.0000,200,42,,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,0.5,19.0,0.35,37.72,3500.0,VALID,28.88159058960253,75475.84165861145,17.187070677857157,5.310944082299106,2.000235830386026,18.0071,blind_harmonic_sum,0.804701,0.8650,0.0242,200,42,,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,0.5,19.0,0.35,37.72,3500.0,VALID,28.88159058960253,75475.84165861145,17.187070677857157,5.310944082299106,2.000235830386026,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,0.5,19.0,0.7,39.23,3500.0,VALID,30.39159058960253,75475.84165861145,18.697070677857155,1.3218182046218712,0.9145705300864642,18.0071,global_max,0.427687,1.0000,0.0000,200,42,,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,0.5,19.0,0.7,39.23,3500.0,VALID,30.39159058960253,75475.84165861145,18.697070677857155,1.3218182046218712,0.9145705300864642,18.0071,blind_harmonic_sum,0.804701,0.8550,0.0249,200,42,,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,0.5,19.0,0.7,39.23,3500.0,VALID,30.39159058960253,75475.84165861145,18.697070677857155,1.3218182046218712,0.9145705300864642,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,0.5,19.0,0.85,39.65,3500.0,VALID,30.81159058960253,75475.84165861145,19.117070677857157,0.8977837262386984,0.6956167954482848,18.0071,global_max,0.427687,1.0000,0.0000,200,42,,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,0.5,19.0,0.85,39.65,3500.0,VALID,30.81159058960253,75475.84165861145,19.117070677857157,0.8977837262386984,0.6956167954482848,18.0071,blind_harmonic_sum,0.804701,0.8800,0.0230,200,42,,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,0.5,19.0,0.85,39.65,3500.0,VALID,30.81159058960253,75475.84165861145,19.117070677857157,0.8977837262386984,0.6956167954482848,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,1.0,19.0,0.1,35.0,3500.0,VALID,26.161590589602532,75475.84165861145,14.967070677857159,41.03663380921429,4.059069828772581,18.0071,global_max,0.427687,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,1.0,19.0,0.1,35.0,3500.0,VALID,26.161590589602532,75475.84165861145,14.967070677857159,41.03663380921429,4.059069828772581,18.0071,blind_harmonic_sum,0.804701,0.9050,0.0207,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,1.0,19.0,0.1,35.0,3500.0,VALID,26.161590589602532,75475.84165861145,14.967070677857159,41.03663380921429,4.059069828772581,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,1.0,19.0,0.2,36.51,3500.0,VALID,27.67159058960253,75475.84165861145,16.477070677857157,10.213432637373769,2.6243464461327632,18.0071,global_max,0.427687,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,1.0,19.0,0.2,36.51,3500.0,VALID,27.67159058960253,75475.84165861145,16.477070677857157,10.213432637373769,2.6243464461327632,18.0071,blind_harmonic_sum,0.804701,0.8650,0.0242,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,1.0,19.0,0.2,36.51,3500.0,VALID,27.67159058960253,75475.84165861145,16.477070677857157,10.213432637373769,2.6243464461327632,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,1.0,19.0,0.35,37.72,3500.0,VALID,28.88159058960253,75475.84165861145,17.687070677857157,3.3509791748502407,1.5964675115705251,18.0071,global_max,0.427687,1.0000,0.0000,200,42,,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,1.0,19.0,0.35,37.72,3500.0,VALID,28.88159058960253,75475.84165861145,17.687070677857157,3.3509791748502407,1.5964675115705251,18.0071,blind_harmonic_sum,0.804701,0.9250,0.0186,200,42,,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,1.0,19.0,0.35,37.72,3500.0,VALID,28.88159058960253,75475.84165861145,17.687070677857157,3.3509791748502407,1.5964675115705251,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,1.0,19.0,0.7,39.23,3500.0,VALID,30.39159058960253,75475.84165861145,19.197070677857155,0.8340109042737924,0.6585047836946827,18.0071,global_max,0.427687,1.0000,0.0000,200,42,,VY CMa-like red hypergiant
