source,L_Lsun,R_Rsun,M_total_Msun,A_V,m_nuc,D_L_Gpc,DM,R_max_Rsun,validity,m_unlensed,mu_cusp,m_lensed,flux_ratio,delta_m_peak,P_inject_days,detector,threshold,recovery_fraction,binom_se,n_inj,seed,aperture_note
RGB,2000.0,100.0,10000000000.0,0.5,19.0,0.35,37.72,3118.1455134911876,VALID,34.20742501084005,303962.00952271017,21.00037674331216,0.15843433403648208,0.15967855199631387,18.0071,global_max,0.427687,0.9650,0.0130,200,42,
RGB,2000.0,100.0,10000000000.0,0.5,19.0,0.35,37.72,3118.1455134911876,VALID,34.20742501084005,303962.00952271017,21.00037674331216,0.15843433403648208,0.15967855199631387,18.0071,blind_harmonic_sum,0.804701,0.6600,0.0335,200,42,
RGB,2000.0,100.0,10000000000.0,0.5,19.0,0.35,37.72,3118.1455134911876,VALID,34.20742501084005,303962.00952271017,21.00037674331216,0.15843433403648208,0.15967855199631387,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,
RGB,2000.0,100.0,10000000000.0,0.5,19.0,0.5,38.49,3118.1455134911876,VALID,34.97742501084005,303962.00952271017,21.770376743312163,0.07795595615531031,0.08150254129777026,18.0071,global_max,0.427687,0.7000,0.0324,200,42,
RGB,2000.0,100.0,10000000000.0,0.5,19.0,0.5,38.49,3118.1455134911876,VALID,34.97742501084005,303962.00952271017,21.770376743312163,0.07795595615531031,0.08150254129777026,18.0071,blind_harmonic_sum,0.804701,0.2500,0.0306,200,42,
RGB,2000.0,100.0,10000000000.0,0.5,19.0,0.5,38.49,3118.1455134911876,VALID,34.97742501084005,303962.00952271017,21.770376743312163,0.07795595615531031,0.08150254129777026,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,
RGB,2000.0,100.0,10000000000.0,1.0,19.0,0.1,35.0,3118.1455134911876,VALID,31.48742501084005,303962.00952271017,18.78037674331216,1.224191339225568,0.8679303632951035,18.0071,global_max,0.427687,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance
RGB,2000.0,100.0,10000000000.0,1.0,19.0,0.1,35.0,3118.1455134911876,VALID,31.48742501084005,303962.00952271017,18.78037674331216,1.224191339225568,0.8679303632951035,18.0071,blind_harmonic_sum,0.804701,0.8550,0.0249,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance
RGB,2000.0,100.0,10000000000.0,1.0,19.0,0.1,35.0,3118.1455134911876,VALID,31.48742501084005,303962.00952271017,18.78037674331216,1.224191339225568,0.8679303632951035,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance
RGB,2000.0,100.0,10000000000.0,1.0,19.0,0.2,36.51,3118.1455134911876,VALID,32.99742501084005,303962.00952271017,20.29037674331216,0.30468375736094816,0.2887631391915497,18.0071,global_max,0.427687,0.9950,0.0050,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance
RGB,2000.0,100.0,10000000000.0,1.0,19.0,0.2,36.51,3118.1455134911876,VALID,32.99742501084005,303962.00952271017,20.29037674331216,0.30468375736094816,0.2887631391915497,18.0071,blind_harmonic_sum,0.804701,0.8000,0.0283,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance
RGB,2000.0,100.0,10000000000.0,1.0,19.0,0.2,36.51,3118.1455134911876,VALID,32.99742501084005,303962.00952271017,20.29037674331216,0.30468375736094816,0.2887631391915497,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance
RGB,2000.0,100.0,10000000000.0,1.0,19.0,0.35,37.72,3118.1455134911876,VALID,34.20742501084005,303962.00952271017,21.50037674331216,0.09996530667814661,0.10344746890499745,18.0071,global_max,0.427687,0.9100,0.0202,200,42,
