host,host_label,statistic,detector,D_L_Gpc,DM,A_V,L_min_Lsun,N_zone,N_zone_f_burst,f_burst,r_E_pc,column_Msun_per_pc2
old_metalrich,"old, [Fe/H]=+0.25 (10 Gyr)",v1-frozen,global_max,0.5,38.49,0.0,642.987,0.108425,,,1.95686,230.773
old_metalrich,"old, [Fe/H]=+0.25 (10 Gyr)",v1-frozen,global_max,0.7,39.23,0.0,2335.3,0.00634456,,,1.95686,230.773
old_metalrich,"old, [Fe/H]=+0.25 (10 Gyr)",v1-frozen,global_max,0.85,39.65,0.0,5816.89,4.48698e-06,,,1.95686,230.773
old_metalrich,"old, [Fe/H]=+0.25 (10 Gyr)",v1-frozen,global_max,1.0,40.0,0.0,8217.29,0,,,1.95686,230.773
old_metalrich,"old, [Fe/H]=+0.25 (10 Gyr)",v1-frozen,global_max,2.0,41.51,0.0,33008.8,0,,,1.95686,230.773
old_metalrich,"old, [Fe/H]=+0.25 (10 Gyr)",v1-frozen,global_max,2.9,42.31,0.0,68977.9,0,,,1.95686,230.773
old_metalrich,"old, [Fe/H]=+0.25 (10 Gyr)",v1-frozen,blind_harmonic_sum,0.1,35.0,0.0,7.83382,5.86751,,,1.95686,230.773
old_metalrich,"old, [Fe/H]=+0.25 (10 Gyr)",v1-frozen,blind_harmonic_sum,0.2,36.51,0.0,69.8572,0.826404,,,1.95686,230.773
old_metalrich,"old, [Fe/H]=+0.25 (10 Gyr)",v1-frozen,blind_harmonic_sum,0.35,37.72,0.0,524.119,0.133182,,,1.95686,230.773
old_metalrich,"old, [Fe/H]=+0.25 (10 Gyr)",v1-frozen,blind_harmonic_sum,0.5,38.49,0.0,2004.82,0.0147237,,,1.95686,230.773
old_metalrich,"old, [Fe/H]=+0.25 (10 Gyr)",v1-frozen,blind_harmonic_sum,0.7,39.23,0.0,7386.98,0,,,1.95686,230.773
old_metalrich,"old, [Fe/H]=+0.25 (10 Gyr)",v1-frozen,blind_harmonic_sum,0.85,39.65,0.0,10895.8,0,,,1.95686,230.773
old_metalrich,"old, [Fe/H]=+0.25 (10 Gyr)",v1-frozen,blind_harmonic_sum,1.0,40.0,0.0,15041.6,0,,,1.95686,230.773
old_metalrich,"old, [Fe/H]=+0.25 (10 Gyr)",v1-frozen,blind_harmonic_sum,2.0,41.51,0.0,60422,0,,,1.95686,230.773
old_metalrich,"old, [Fe/H]=+0.25 (10 Gyr)",v1-frozen,blind_harmonic_sum,2.9,42.31,0.0,,,,,1.95686,230.773
old_metalrich,"old, [Fe/H]=+0.25 (10 Gyr)",v3-physical,global_max,0.1,35.0,0.0,2665.98,0.00295839,,,1.95686,230.773
old_metalrich,"old, [Fe/H]=+0.25 (10 Gyr)",v3-physical,global_max,0.2,36.51,0.0,2665.98,0.00295839,,,1.95686,230.773
old_metalrich,"old, [Fe/H]=+0.25 (10 Gyr)",v3-physical,global_max,0.35,37.72,0.0,2665.98,0.00295839,,,1.95686,230.773
