statistic,detector,floor_mag,D_L_Gpc,DM,A_V,m_nuc,M_total_Msun,L_min_Lsun,R_at_Lmin_Rsun,Sigma_detectable_per_pc2,r_E_pc,einstein_area_pc2,N_zone,column_Msun_per_pc2
v1-frozen,blind_harmonic_sum,0.125,0.2,36.51,0.5,19.0,20000000000.0,131.699,19.6979,0.0563458,1.95686,12.0301,0.677849,230.773
v1-frozen,blind_harmonic_sum,0.125,0.35,37.72,0.5,19.0,20000000000.0,1006.37,83.2561,0.00661501,1.95686,12.0301,0.0795796,230.773
v1-frozen,blind_harmonic_sum,0.125,0.5,38.49,0.5,19.0,20000000000.0,3848.38,222.37,2.26816e-05,1.95686,12.0301,0.000272863,230.773
v1-frozen,blind_harmonic_sum,0.125,0.7,39.23,0.5,19.0,20000000000.0,9229.92,300.744,0,1.95686,12.0301,0,230.773
v1-frozen,blind_harmonic_sum,0.125,0.85,39.65,0.5,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v1-frozen,blind_harmonic_sum,0.125,1.0,40.0,0.5,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v1-frozen,blind_harmonic_sum,0.125,2.0,41.51,0.5,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v1-frozen,blind_harmonic_sum,0.125,2.9,42.31,0.5,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v1-frozen,blind_harmonic_sum,0.125,0.1,35.0,1.0,19.0,20000000000.0,30.3664,8.51262,0.333162,1.95686,12.0301,4.00799,230.773
v1-frozen,blind_harmonic_sum,0.125,0.2,36.51,1.0,19.0,20000000000.0,306.373,35.8802,0.0238246,1.95686,12.0301,0.286613,230.773
v1-frozen,blind_harmonic_sum,0.125,0.35,37.72,1.0,19.0,20000000000.0,2400.41,157.327,0.000398427,1.95686,12.0301,0.00479313,230.773
v1-frozen,blind_harmonic_sum,0.125,0.5,38.49,1.0,19.0,20000000000.0,7399.43,300.744,0,1.95686,12.0301,0,230.773
v1-frozen,blind_harmonic_sum,0.125,0.7,39.23,1.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v1-frozen,blind_harmonic_sum,0.125,0.85,39.65,1.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v1-frozen,blind_harmonic_sum,0.125,1.0,40.0,1.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v1-frozen,blind_harmonic_sum,0.125,2.0,41.51,1.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v1-frozen,blind_harmonic_sum,0.125,2.9,42.31,1.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v1-frozen,blind_harmonic_sum,0.125,0.1,35.0,2.0,19.0,20000000000.0,129.561,19.4789,0.0579878,1.95686,12.0301,0.697602,230.773
v1-frozen,blind_harmonic_sum,0.125,0.2,36.51,2.0,19.0,20000000000.0,1611.4,113.855,0.00256026,1.95686,12.0301,0.0308003,230.773
v1-frozen,blind_harmonic_sum,0.125,0.35,37.72,2.0,19.0,20000000000.0,9145.3,300.744,0,1.95686,12.0301,0,230.773
v1-frozen,blind_harmonic_sum,0.125,0.5,38.49,2.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v1-frozen,blind_harmonic_sum,0.125,0.7,39.23,2.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v1-frozen,blind_harmonic_sum,0.125,0.85,39.65,2.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v1-frozen,blind_harmonic_sum,0.125,1.0,40.0,2.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v1-frozen,blind_harmonic_sum,0.125,2.0,41.51,2.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v1-frozen,blind_harmonic_sum,0.125,2.9,42.31,2.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,global_max,none,0.1,35.0,0.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,global_max,none,0.2,36.51,0.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,global_max,none,0.35,37.72,0.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v2-physical,global_max,none,0.5,38.49,0.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
