block,key1,key2,key3,value,note
B2_N_zone,old_metalrich,global_max,A=0.12,0.00295839,
B2_N_zone,old_metalrich,global_max,A=0.14,0.00295839,
B2_N_zone,old_metalrich,global_max,A=0.16,0.00295839,
B2_N_zone,old_metalrich,global_max,A=0.18,0.00295839,
B2_N_zone,old_metalrich,global_max,A=0.20,0.00295839,
B4_ratio,old_metalrich,global_max,N_zone(0.2)/N_zone(0),1,robustness ratio
B4_A_half,old_metalrich,global_max,A_half_mag,none in range,"log-linear interpolation, A in [0,0.2]"
B2_N_zone,intermediate,global_max,A=0.00,0.0585864,"per unit stellar mass, x f_burst"
B2_N_zone,intermediate,global_max,A=0.02,0.0585864,"per unit stellar mass, x f_burst"
B2_N_zone,intermediate,global_max,A=0.04,0.0585864,"per unit stellar mass, x f_burst"
B2_N_zone,intermediate,global_max,A=0.06,0.0585864,"per unit stellar mass, x f_burst"
B2_N_zone,intermediate,global_max,A=0.08,0.0585864,"per unit stellar mass, x f_burst"
B2_N_zone,intermediate,global_max,A=0.10,0.0585864,"per unit stellar mass, x f_burst"
B2_N_zone,intermediate,global_max,A=0.12,0.0585864,"per unit stellar mass, x f_burst"
B2_N_zone,intermediate,global_max,A=0.14,0.0585864,"per unit stellar mass, x f_burst"
B2_N_zone,intermediate,global_max,A=0.16,0.0585864,"per unit stellar mass, x f_burst"
B2_N_zone,intermediate,global_max,A=0.18,0.0585864,"per unit stellar mass, x f_burst"
B2_N_zone,intermediate,global_max,A=0.20,0.0585864,"per unit stellar mass, x f_burst"
B4_ratio,intermediate,global_max,N_zone(0.2)/N_zone(0),1,robustness ratio
B4_A_half,intermediate,global_max,A_half_mag,none in range,"log-linear interpolation, A in [0,0.2]"
B3_identity,old_metalpoor,A_prime=0.1,D_equiv_Gpc=0.104713,0,lhs=0.00032726115 rhs=0.00032726115 PASS
B3_identity,old_metalrich,A_prime=0.1,D_equiv_Gpc=0.104713,0,lhs=0.002958389 rhs=0.002958389 PASS
B3_identity,intermediate,A_prime=0.1,D_equiv_Gpc=0.104713,0,lhs=0.058586431 rhs=0.058586431 PASS
B3_identity,old_metalpoor,A_prime=0.2,D_equiv_Gpc=0.109648,0,lhs=0.00032726115 rhs=0.00032726115 PASS
B3_identity,old_metalrich,A_prime=0.2,D_equiv_Gpc=0.109648,0,lhs=0.002958389 rhs=0.002958389 PASS
B3_identity,intermediate,A_prime=0.2,D_equiv_Gpc=0.109648,0,lhs=0.058586431 rhs=0.058586431 PASS
PR,PR1,,,PASS,all six identity pairs agree at rtol 1e-6
