block,key1,key2,key3,value,note
B1_series,old_metalrich,global_max,A=3.60000,0.001693111671,
B1_series,old_metalrich,global_max,A=3.70000,0.001480459545,
B1_series,old_metalrich,global_max,A=3.80000,0.001270906326,
B1_series,old_metalrich,global_max,A=3.90000,0.0005593987802,
B1_series,old_metalrich,global_max,A=4.00000,0.0003742916805,
B1_series,old_metalrich,global_max,A=4.10000,5.176959047e-05,
B1_series,old_metalrich,global_max,A=4.20000,3.059902492e-05,
B1_series,old_metalrich,global_max,A=4.22549,2.278074145e-05,
B1_series,old_metalrich,global_max,A=4.30000,0,
B1_series,old_metalrich,global_max,A=4.40000,0,
B1_series,old_metalrich,global_max,A=4.50000,0,
B1_series,old_metalrich,global_max,A=4.60000,0,
B1_series,old_metalrich,global_max,A=4.64712,0,
B1_series,old_metalrich,global_max,A=4.70000,0,
B1_series,old_metalrich,global_max,A=4.80000,0,
B1_series,old_metalrich,global_max,A=4.90000,0,
B1_series,old_metalrich,global_max,A=5.00000,0,
B2_feature,old_metalrich,global_max,A_onset,3.1,first grid A with N_zone < N_zone(0)
B2_feature,old_metalrich,global_max,A_half,3.70056,log-linear interpolated 0.5 x N_zone(0) crossing
B2_feature,old_metalrich,global_max,A_zero,4.3,exactly zero
B1_series,intermediate,global_max,A=0.00000,0.05858643076,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=0.10000,0.05858643076,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=0.20000,0.05858643076,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=0.30000,0.05858643076,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=0.40000,0.05858643076,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=0.50000,0.05858643076,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=0.60000,0.05858643076,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=0.70000,0.05858643076,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=0.80000,0.05858643076,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=0.90000,0.05858643076,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=1.00000,0.05858643076,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=1.10000,0.05858643076,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=1.20000,0.05858643076,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=1.30000,0.05858643076,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=1.40000,0.05858643076,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=1.50000,0.05858643076,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=1.50515,0.05858643076,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=1.60000,0.05858643076,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=1.70000,0.05858643076,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=1.80000,0.05858643076,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=1.90000,0.05858643076,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=2.00000,0.05858643076,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=2.10000,0.05858643076,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=2.20000,0.05858643076,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=2.30000,0.05858643076,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=2.40000,0.05858643076,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=2.50000,0.05858643076,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=2.60000,0.05858643076,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=2.70000,0.05858643076,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=2.72035,0.05858643076,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=2.80000,0.05858643076,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=2.90000,0.05858643076,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=3.00000,0.05858643076,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=3.10000,0.05858643076,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=3.20000,0.05858643076,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=3.30000,0.05858643076,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=3.40000,0.04664257051,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=3.49485,0.04664257051,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=3.50000,0.04664257051,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=3.60000,0.04203757487,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=3.70000,0.03897641084,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=3.80000,0.0383616016,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=3.90000,0.03694049465,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=4.00000,0.02545620218,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=4.10000,0.02361964085,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=4.20000,0.02063773706,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=4.22549,0.01812471516,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=4.30000,0.01523625169,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=4.40000,0.007695568559,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=4.50000,0.002077927794,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=4.60000,9.535805518e-05,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=4.64712,0,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=4.70000,0,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=4.80000,0,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=4.90000,0,"per unit stellar mass, x f_burst"
B1_series,intermediate,global_max,A=5.00000,0,"per unit stellar mass, x f_burst"
B2_feature,intermediate,global_max,A_onset,3.4,first grid A with N_zone < N_zone(0)
B2_feature,intermediate,global_max,A_half,3.96229,log-linear interpolated 0.5 x N_zone(0) crossing
B2_feature,intermediate,global_max,A_zero,4.64712,exactly zero
B3prime,old_metalpoor,D=0.2Gpc,A=1.50515,EQUAL,"computed '0.000327261' vs stored '0.000327261'; writer '{:.6g}' (qpls/host_types.py:274); stored DM 36.51000, exact DM 36.50515"
B3prime,old_metalpoor,D=0.35Gpc,A=2.72035,EQUAL,"computed '0.000327261' vs stored '0.000327261'; writer '{:.6g}' (qpls/host_types.py:274); stored DM 37.72000, exact DM 37.72035"
B3prime,old_metalpoor,D=0.5Gpc,A=3.49485,EQUAL,"computed '0.000293143' vs stored '0.000293143'; writer '{:.6g}' (qpls/host_types.py:274); stored DM 38.49000, exact DM 38.49485"
B3prime,old_metalpoor,D=0.7Gpc,A=4.22549,EQUAL,"computed '5.07467e-05' vs stored '5.07467e-05'; writer '{:.6g}' (qpls/host_types.py:274); stored DM 39.23000, exact DM 39.22549"
B3prime,old_metalpoor,D=0.85Gpc,A=4.64712,EQUAL,"computed '0' vs stored '0'; writer '{:.6g}' (qpls/host_types.py:274); stored DM 39.65000, exact DM 39.64712"
B3prime,old_metalrich,D=0.2Gpc,A=1.50515,EQUAL,"computed '0.00295839' vs stored '0.00295839'; writer '{:.6g}' (qpls/host_types.py:274); stored DM 36.51000, exact DM 36.50515"
