statistic,kind,source,R_Rsun,L_Lsun,t_mag_days,P_days,detector,A_mag,recovery_fraction,threshold,n_inj,seed
v3-physical,radius_scan,AGB215,214.97406799964722,3683.890372263349,12.768,91.3125,global_max,0.078435,0.0550,0.427687,200,42
v3-physical,radius_scan,AGB215,214.97406799964722,3683.890372263349,12.768,91.3125,global_max,0.123690,0.2050,0.427687,200,42
v3-physical,radius_scan,AGB215,214.97406799964722,3683.890372263349,12.768,91.3125,global_max,0.195057,0.4800,0.427687,200,42
v3-physical,radius_scan,AGB215,214.97406799964722,3683.890372263349,12.768,91.3125,global_max,0.307602,0.7050,0.427687,200,42
v3-physical,radius_scan,AGB215,214.97406799964722,3683.890372263349,12.768,91.3125,global_max,0.485082,0.7200,0.427687,200,42
v3-physical,radius_scan,AGB215,214.97406799964722,3683.890372263349,12.768,91.3125,global_max,0.764965,0.7400,0.427687,200,42
v3-physical,radius_scan,AGB215,214.97406799964722,3683.890372263349,12.768,91.3125,global_max,1.206336,0.7050,0.427687,200,42
v3-physical,radius_scan,AGB215,214.97406799964722,3683.890372263349,12.768,91.3125,global_max,1.902369,0.7850,0.427687,200,42
v3-physical,radius_scan,AGB215,214.97406799964722,3683.890372263349,12.768,91.3125,global_max,3.000000,0.7750,0.427687,200,42
v3-physical,radius_scan,AGB215,214.97406799964722,3683.890372263349,12.768,91.3125,oracle_single_freq,0.020000,0.1100,0.146767,200,42
v3-physical,radius_scan,AGB215,214.97406799964722,3683.890372263349,12.768,91.3125,oracle_single_freq,0.031540,0.2850,0.146767,200,42
v3-physical,radius_scan,AGB215,214.97406799964722,3683.890372263349,12.768,91.3125,oracle_single_freq,0.049737,0.6200,0.146767,200,42
v3-physical,radius_scan,AGB215,214.97406799964722,3683.890372263349,12.768,91.3125,oracle_single_freq,0.078435,0.9150,0.146767,200,42
v3-physical,radius_scan,AGB215,214.97406799964722,3683.890372263349,12.768,91.3125,oracle_single_freq,0.123690,0.9950,0.146767,200,42
v3-physical,radius_scan,AGB215,214.97406799964722,3683.890372263349,12.768,91.3125,oracle_single_freq,0.195057,1.0000,0.146767,200,42
v3-physical,radius_scan,AGB215,214.97406799964722,3683.890372263349,12.768,91.3125,oracle_single_freq,0.307602,1.0000,0.146767,200,42
v3-physical,radius_scan,AGB215,214.97406799964722,3683.890372263349,12.768,91.3125,oracle_single_freq,0.485082,1.0000,0.146767,200,42
v3-physical,radius_scan,AGB215,214.97406799964722,3683.890372263349,12.768,91.3125,oracle_single_freq,0.764965,1.0000,0.146767,200,42
v3-physical,radius_scan,AGB215,214.97406799964722,3683.890372263349,12.768,91.3125,oracle_single_freq,1.206336,1.0000,0.146767,200,42
v3-physical,radius_scan,AGB215,214.97406799964722,3683.890372263349,12.768,91.3125,oracle_single_freq,1.902369,1.0000,0.146767,200,42
v3-physical,radius_scan,AGB215,214.97406799964722,3683.890372263349,12.768,91.3125,oracle_single_freq,3.000000,1.0000,0.146767,200,42
v3-physical,radius_scan,AGB215,214.97406799964722,3683.890372263349,12.768,91.3125,blind_harmonic_sum,0.020000,0.0050,0.804701,200,42
v3-physical,radius_scan,AGB215,214.97406799964722,3683.890372263349,12.768,91.3125,blind_harmonic_sum,0.031540,0.0050,0.804701,200,42
v3-physical,radius_scan,AGB215,214.97406799964722,3683.890372263349,12.768,91.3125,blind_harmonic_sum,0.049737,0.0100,0.804701,200,42
v3-physical,radius_scan,AGB215,214.97406799964722,3683.890372263349,12.768,91.3125,blind_harmonic_sum,0.078435,0.0600,0.804701,200,42
v3-physical,radius_scan,AGB215,214.97406799964722,3683.890372263349,12.768,91.3125,blind_harmonic_sum,0.123690,0.1100,0.804701,200,42
v3-physical,radius_scan,AGB215,214.97406799964722,3683.890372263349,12.768,91.3125,blind_harmonic_sum,0.195057,0.2500,0.804701,200,42
v3-physical,radius_scan,AGB215,214.97406799964722,3683.890372263349,12.768,91.3125,blind_harmonic_sum,0.307602,0.5000,0.804701,200,42
v3-physical,radius_scan,AGB215,214.97406799964722,3683.890372263349,12.768,91.3125,blind_harmonic_sum,0.485082,0.5300,0.804701,200,42
v3-physical,radius_scan,AGB215,214.97406799964722,3683.890372263349,12.768,91.3125,blind_harmonic_sum,0.764965,0.5550,0.804701,200,42
v3-physical,radius_scan,AGB215,214.97406799964722,3683.890372263349,12.768,91.3125,blind_harmonic_sum,1.206336,0.6500,0.804701,200,42
v3-physical,radius_scan,AGB215,214.97406799964722,3683.890372263349,12.768,91.3125,blind_harmonic_sum,1.902369,0.5950,0.804701,200,42
v3-physical,radius_scan,AGB215,214.97406799964722,3683.890372263349,12.768,91.3125,blind_harmonic_sum,3.000000,0.5800,0.804701,200,42
v3-physical,radius_scan,AGB260,260.51159521815595,4709.267690147197,15.4726,91.3125,global_max,0.020000,0.0150,0.427687,200,42
v3-physical,radius_scan,AGB260,260.51159521815595,4709.267690147197,15.4726,91.3125,global_max,0.031540,0.0100,0.427687,200,42
v3-physical,radius_scan,AGB260,260.51159521815595,4709.267690147197,15.4726,91.3125,global_max,0.049737,0.0200,0.427687,200,42
v3-physical,radius_scan,AGB260,260.51159521815595,4709.267690147197,15.4726,91.3125,global_max,0.078435,0.1200,0.427687,200,42
v3-physical,radius_scan,AGB260,260.51159521815595,4709.267690147197,15.4726,91.3125,global_max,0.123690,0.5500,0.427687,200,42
v3-physical,radius_scan,AGB260,260.51159521815595,4709.267690147197,15.4726,91.3125,global_max,0.195057,0.8250,0.427687,200,42
v3-physical,radius_scan,AGB260,260.51159521815595,4709.267690147197,15.4726,91.3125,global_max,0.307602,0.8800,0.427687,200,42
v3-physical,radius_scan,AGB260,260.51159521815595,4709.267690147197,15.4726,91.3125,global_max,0.485082,0.9050,0.427687,200,42
v3-physical,radius_scan,AGB260,260.51159521815595,4709.267690147197,15.4726,91.3125,global_max,0.764965,0.9300,0.427687,200,42
v3-physical,radius_scan,AGB260,260.51159521815595,4709.267690147197,15.4726,91.3125,global_max,1.206336,0.8850,0.427687,200,42
v3-physical,radius_scan,AGB260,260.51159521815595,4709.267690147197,15.4726,91.3125,global_max,1.902369,0.9050,0.427687,200,42
v3-physical,radius_scan,AGB260,260.51159521815595,4709.267690147197,15.4726,91.3125,global_max,3.000000,0.9200,0.427687,200,42
v3-physical,radius_scan,AGB260,260.51159521815595,4709.267690147197,15.4726,91.3125,oracle_single_freq,0.020000,0.1600,0.146767,200,42
v3-physical,radius_scan,AGB260,260.51159521815595,4709.267690147197,15.4726,91.3125,oracle_single_freq,0.031540,0.3550,0.146767,200,42
v3-physical,radius_scan,AGB260,260.51159521815595,4709.267690147197,15.4726,91.3125,oracle_single_freq,0.049737,0.7950,0.146767,200,42
v3-physical,radius_scan,AGB260,260.51159521815595,4709.267690147197,15.4726,91.3125,oracle_single_freq,0.078435,0.9700,0.146767,200,42
v3-physical,radius_scan,AGB260,260.51159521815595,4709.267690147197,15.4726,91.3125,oracle_single_freq,0.123690,1.0000,0.146767,200,42
v3-physical,radius_scan,AGB260,260.51159521815595,4709.267690147197,15.4726,91.3125,oracle_single_freq,0.195057,1.0000,0.146767,200,42
v3-physical,radius_scan,AGB260,260.51159521815595,4709.267690147197,15.4726,91.3125,oracle_single_freq,0.307602,1.0000,0.146767,200,42
